step,asp_time,heu_time,cr_time,declace_time,asp_cost,heu_cost,cr_cost,declace_cost,asp_placement,heu_placement,cr_placement,declace_placement
0,12.63376,1.35447,-1,12.63376,2962,3545,-1,2962,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n13)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n31),(nginx,n31),(mariadb,n31),(memcached,n16)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n13)"
1,9.43402,2.35484,1.4873,1.4873,3474,3665,3474,3474,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n11),(mariadb,n17)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n128),(nginx,n128),(memcached,n11),(mariadb,n11)","(mariadb,n1),(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n11),(memcached,n13)","(mariadb,n1),(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n11),(memcached,n13)"
2,11.67753,2.05326,2.77053,2.77053,3044,3630,3443,3443,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n11)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n190),(nginx,n190),(mariadb,n190),(memcached,n11)","(memcached,n1),(busybox,n1),(nginx,n1),(mariadb,n1),(memcached,n11),(mariadb,n11)","(memcached,n1),(busybox,n1),(nginx,n1),(mariadb,n1),(memcached,n11),(mariadb,n11)"
3,11.64776,1.79228,0.90246,0.90246,3044,3630,3443,3443,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n11)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n190),(nginx,n190),(mariadb,n190),(memcached,n11)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n11),(mariadb,n11)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n11),(mariadb,n11)"
4,12.17902,2.79802,5.65273,5.65273,3184,3770,3583,3583,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n190),(nginx,n190),(mariadb,n190),(memcached,n3)","(memcached,n1),(mariadb,n1),(busybox,n1),(nginx,n1),(memcached,n3),(mariadb,n190)","(memcached,n1),(mariadb,n1),(busybox,n1),(nginx,n1),(memcached,n3),(mariadb,n190)"
5,11.76968,95.63993,65.76739,77.53707,3184,-1,-1,3184,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n8),(memcached,n101)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n8),(memcached,n101)"
6,12.47576,95.85347,0.98341,13.459169999999999,6954,-1,-1,6954,"(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(busybox,n157),(memcached,n157),(nginx,n157),(mariadb,n157),(busybox,n219),(memcached,n219),(nginx,n219),(mariadb,n219),(memcached,n14),(memcached,n16)",,,"(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(busybox,n157),(memcached,n157),(nginx,n157),(mariadb,n157),(busybox,n219),(memcached,n219),(nginx,n219),(mariadb,n219),(memcached,n14),(memcached,n16)"
7,14.14558,2.49869,1.17314,15.31872,3044,3630,-1,3044,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n11)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n141),(nginx,n141),(mariadb,n141),(memcached,n11)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n11)"
8,12.78994,96.11039,1.22094,14.01088,2712,-1,-1,2712,"(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(memcached,n14),(memcached,n16),(memcached,n27),(memcached,n61)",,,"(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(memcached,n14),(memcached,n16),(memcached,n27),(memcached,n61)"
9,12.23009,1.63274,0.86708,13.09717,2904,2904,-1,2904,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1)"
